,x,y,width,height,frame_num,cls
0,0,0,640,512,0,Background
0,542,0,15,8,47,Car
0,542,0,15,8,48,Car
0,542,0,15,8,49,Car
0,542,0,15,8,50,Car
0,542,0,15,8,51,Car
0,542,0,15,8,56,Car
0,303,301,15,15,57,Person
1,542,0,15,8,57,Car
0,303,301,15,15,58,Person
1,542,0,15,8,58,Car
0,303,301,15,15,59,Person
1,542,0,15,8,59,Car
0,303,301,15,15,60,Person
1,542,0,15,8,60,Car
0,303,301,15,15,61,Person
1,542,0,15,8,61,Car
0,303,301,15,15,62,Person
1,542,0,15,8,62,Car
0,303,301,16,17,63,Person
0,303,301,16,17,64,Person
0,303,301,15,15,65,Person
0,303,301,15,15,66,Person
0,303,301,16,15,67,Person
0,303,301,16,15,68,Person
0,303,301,16,15,69,Person
0,303,301,16,18,70,Person
0,303,301,16,18,71,Person
0,304,301,15,18,72,Person
0,304,301,15,18,73,Person
0,304,301,15,15,74,Person
0,304,301,15,15,75,Person
0,304,301,15,15,76,Person
0,304,301,15,15,77,Person
0,304,301,16,18,78,Person
0,304,301,16,18,79,Person
0,304,301,16,18,80,Person
0,304,301,16,18,81,Person
0,305,301,15,18,82,Person
0,305,301,15,18,83,Person
0,305,301,15,18,84,Person
0,305,301,15,18,85,Person
0,305,301,15,18,86,Person
0,305,301,15,15,87,Person
1,542,0,15,8,87,Car
0,542,0,15,8,88,Car
0,306,303,15,15,89,Person
1,542,0,15,8,89,Car
0,306,301,15,17,90,Person
1,542,0,15,8,90,Car
0,306,301,15,17,91,Person
0,306,301,15,17,92,Person
0,306,301,15,17,93,Person
0,307,302,15,15,100,Person
0,307,302,15,15,101,Person
0,307,301,15,15,102,Person
0,309,300,15,15,113,Person
0,309,300,15,15,114,Person
1,447,0,15,8,114,Background
0,309,300,15,15,115,Person
1,447,0,15,8,115,Background
0,447,0,15,8,116,Background
0,329,309,15,15,117,Person
1,447,0,15,8,117,Background
0,329,308,15,16,118,Person
1,446,0,16,8,118,Background
0,329,306,16,18,119,Person
1,567,0,15,8,119,Car
2,446,0,16,8,119,Background
0,329,306,16,18,120,Person
1,567,0,15,8,120,Car
2,446,0,16,8,120,Background
0,329,306,16,18,121,Person
1,567,0,15,8,121,Car
2,446,0,16,8,121,Background
0,329,306,16,18,122,Person
1,567,0,15,8,122,Car
2,446,0,16,8,122,Background
0,329,309,15,15,123,Person
1,310,301,15,15,123,Person
2,567,0,15,8,123,Car
3,446,0,16,8,123,Background
